 frequency       v(Aol_dB)       v(Aol_arg)     
 1.89333613e+02  3.13288155e+01  1.79996237e+02 
 1.93699595e+02  3.13288155e+01  1.79996150e+02 
 1.98166255e+02  3.13288155e+01  1.79996062e+02 
 2.02735916e+02  3.13288155e+01  1.79995971e+02 
 2.07410951e+02  3.13288155e+01  1.79995878e+02 
 2.12193792e+02  3.13288155e+01  1.79995783e+02 
 2.17086923e+02  3.13288155e+01  1.79995685e+02 
 2.22092889e+02  3.13288155e+01  1.79995586e+02 
 2.27214291e+02  3.13288155e+01  1.79995484e+02 
 2.32453791e+02  3.13288155e+01  1.79995380e+02 
 2.37814113e+02  3.13288155e+01  1.79995274e+02 
 2.43298042e+02  3.13288155e+01  1.79995165e+02 
 2.48908429e+02  3.13288155e+01  1.79995053e+02 
 2.54648190e+02  3.13288155e+01  1.79994939e+02 
 2.60520309e+02  3.13288155e+01  1.79994822e+02 
 2.66527837e+02  3.13288155e+01  1.79994703e+02 
 2.72673897e+02  3.13288155e+01  1.79994581e+02 
 2.78961683e+02  3.13288155e+01  1.79994456e+02 
 2.85394464e+02  3.13288155e+01  1.79994328e+02 
 2.91975583e+02  3.13288155e+01  1.79994197e+02 
 2.98708461e+02  3.13288155e+01  1.79994063e+02 
 3.05596598e+02  3.13288155e+01  1.79993926e+02 
 3.12643573e+02  3.13288155e+01  1.79993786e+02 
 3.19853049e+02  3.13288155e+01  1.79993643e+02 
 3.27228774e+02  3.13288155e+01  1.79993496e+02 
 3.34774581e+02  3.13288155e+01  1.79993346e+02 
 3.42494392e+02  3.13288155e+01  1.79993193e+02 
 3.50392221e+02  3.13288155e+01  1.79993036e+02 
 3.58472171e+02  3.13288155e+01  1.79992876e+02 
 3.66738442e+02  3.13288155e+01  1.79992711e+02 
 3.75195331e+02  3.13288155e+01  1.79992543e+02 
 3.83847234e+02  3.13288155e+01  1.79992371e+02 
 3.92698648e+02  3.13288154e+01  1.79992195e+02 
 4.01754173e+02  3.13288154e+01  1.79992015e+02 
 4.11018515e+02  3.13288154e+01  1.79991831e+02 
 4.20496491e+02  3.13288154e+01  1.79991643e+02 
 4.30193027e+02  3.13288154e+01  1.79991450e+02 
 4.40113162e+02  3.13288154e+01  1.79991253e+02 
 4.50262052e+02  3.13288154e+01  1.79991051e+02 
 4.60644974e+02  3.13288154e+01  1.79990845e+02 
 4.71267322e+02  3.13288154e+01  1.79990634e+02 
 4.82134619e+02  3.13288154e+01  1.79990418e+02 
 4.93252513e+02  3.13288154e+01  1.79990197e+02 
 5.04626783e+02  3.13288154e+01  1.79989971e+02 
 5.16263340e+02  3.13288154e+01  1.79989739e+02 
 5.28168234e+02  3.13288154e+01  1.79989503e+02 
 5.40347650e+02  3.13288154e+01  1.79989261e+02 
 5.52807921e+02  3.13288154e+01  1.79989013e+02 
 5.65555523e+02  3.13288154e+01  1.79988760e+02 
 5.78597080e+02  3.13288154e+01  1.79988501e+02 
 5.91939372e+02  3.13288153e+01  1.79988235e+02 
 6.05589334e+02  3.13288153e+01  1.79987964e+02 
 6.19554061e+02  3.13288153e+01  1.79987687e+02 
 6.33840810e+02  3.13288153e+01  1.79987403e+02 
 6.48457008e+02  3.13288153e+01  1.79987112e+02 
 6.63410251e+02  3.13288153e+01  1.79986815e+02 
 6.78708313e+02  3.13288153e+01  1.79986511e+02 
 6.94359143e+02  3.13288153e+01  1.79986200e+02 
 7.10370877e+02  3.13288153e+01  1.79985882e+02 
 7.26751838e+02  3.13288153e+01  1.79985556e+02 
 7.43510539e+02  3.13288152e+01  1.79985223e+02 
 7.60655691e+02  3.13288152e+01  1.79984882e+02 
 7.78196206e+02  3.13288152e+01  1.79984534e+02 
 7.96141200e+02  3.13288152e+01  1.79984177e+02 
 8.14500001e+02  3.13288152e+01  1.79983812e+02 
 8.33282151e+02  3.13288152e+01  1.79983439e+02 
 8.52497412e+02  3.13288152e+01  1.79983057e+02 
 8.72155772e+02  3.13288151e+01  1.79982666e+02 
 8.92267449e+02  3.13288151e+01  1.79982267e+02 
 9.12842895e+02  3.13288151e+01  1.79981858e+02 
 9.33892805e+02  3.13288151e+01  1.79981439e+02 
 9.55428121e+02  3.13288151e+01  1.79981011e+02 
 9.77460036e+02  3.13288150e+01  1.79980573e+02 
 1.00000000e+03  3.13288150e+01  1.79980125e+02 
 1.02305973e+03  3.13288150e+01  1.79979667e+02 
 1.04665121e+03  3.13288150e+01  1.79979198e+02 
 1.07078670e+03  3.13288149e+01  1.79978719e+02 
 1.09547876e+03  3.13288149e+01  1.79978228e+02 
 1.12074020e+03  3.13288149e+01  1.79977726e+02 
 1.14658417e+03  3.13288148e+01  1.79977212e+02 
 1.17302409e+03  3.13288148e+01  1.79976687e+02 
 1.20007371e+03  3.13288148e+01  1.79976149e+02 
 1.22774708e+03  3.13288147e+01  1.79975599e+02 
 1.25605860e+03  3.13288147e+01  1.79975036e+02 
 1.28502297e+03  3.13288147e+01  1.79974461e+02 
 1.31465525e+03  3.13288146e+01  1.79973872e+02 
 1.34497085e+03  3.13288146e+01  1.79973269e+02 
 1.37598551e+03  3.13288145e+01  1.79972653e+02 
 1.40771537e+03  3.13288145e+01  1.79972022e+02 
 1.44017690e+03  3.13288144e+01  1.79971377e+02 
 1.47338699e+03  3.13288144e+01  1.79970717e+02 
 1.50736290e+03  3.13288143e+01  1.79970042e+02 
 1.54212228e+03  3.13288143e+01  1.79969351e+02 
 1.57768320e+03  3.13288142e+01  1.79968644e+02 
 1.61406415e+03  3.13288142e+01  1.79967921e+02 
 1.65128404e+03  3.13288141e+01  1.79967181e+02 
 1.68936220e+03  3.13288140e+01  1.79966425e+02 
 1.72831844e+03  3.13288140e+01  1.79965650e+02 
 1.76817299e+03  3.13288139e+01  1.79964858e+02 
 1.80894658e+03  3.13288138e+01  1.79964048e+02 
 1.85066040e+03  3.13288137e+01  1.79963219e+02 
 1.89333613e+03  3.13288137e+01  1.79962371e+02 
 1.93699595e+03  3.13288136e+01  1.79961503e+02 
 1.98166255e+03  3.13288135e+01  1.79960615e+02 
 2.02735916e+03  3.13288134e+01  1.79959707e+02 
 2.07410951e+03  3.13288133e+01  1.79958778e+02 
 2.12193792e+03  3.13288132e+01  1.79957827e+02 
