 time            v(vin)          v(vout)        
 2.14842256e-04  7.59757001e-01  3.40463705e-01 
 2.15842256e-04  7.59770575e-01  3.40338784e-01 
 2.16842256e-04  7.59783764e-01  3.40217586e-01 
 2.17842256e-04  7.59796566e-01  3.40100102e-01 
 2.18842256e-04  7.59808982e-01  3.39986321e-01 
 2.19842256e-04  7.59821010e-01  3.39876231e-01 
 2.20842256e-04  7.59832651e-01  3.39769825e-01 
 2.21842256e-04  7.59843904e-01  3.39667091e-01 
 2.22842256e-04  7.59854768e-01  3.39568022e-01 
 2.23842256e-04  7.59865243e-01  3.39472608e-01 
 2.24842256e-04  7.59875328e-01  3.39380840e-01 
 2.25842256e-04  7.59885024e-01  3.39292712e-01 
 2.26842256e-04  7.59894329e-01  3.39208214e-01 
 2.27842256e-04  7.59903244e-01  3.39127340e-01 
 2.28842256e-04  7.59911767e-01  3.39050083e-01 
 2.29842256e-04  7.59919900e-01  3.38976435e-01 
 2.30842256e-04  7.59927641e-01  3.38906391e-01 
 2.31842256e-04  7.59934990e-01  3.38839944e-01 
 2.32842256e-04  7.59941946e-01  3.38777088e-01 
 2.33842256e-04  7.59948511e-01  3.38717818e-01 
 2.34842256e-04  7.59954682e-01  3.38662130e-01 
 2.35842256e-04  7.59960460e-01  3.38610017e-01 
 2.36842256e-04  7.59965846e-01  3.38561475e-01 
 2.37842256e-04  7.59970838e-01  3.38516501e-01 
 2.38842256e-04  7.59975436e-01  3.38475091e-01 
 2.39842256e-04  7.59979640e-01  3.38437240e-01 
 2.40842256e-04  7.59983450e-01  3.38402946e-01 
 2.41842256e-04  7.59986867e-01  3.38372205e-01 
 2.42842256e-04  7.59989889e-01  3.38345016e-01 
 2.43842256e-04  7.59992516e-01  3.38321375e-01 
 2.44842256e-04  7.59994749e-01  3.38301281e-01 
 2.45842256e-04  7.59996588e-01  3.38284732e-01 
 2.46842256e-04  7.59998032e-01  3.38271726e-01 
 2.47842256e-04  7.59999081e-01  3.38262262e-01 
 2.48842256e-04  7.59999735e-01  3.38256340e-01 
 2.49842256e-04  7.59999995e-01  3.38253959e-01 
 2.50842256e-04  7.59999860e-01  3.38255119e-01 
 2.51842256e-04  7.59999330e-01  3.38259820e-01 
 2.52842256e-04  7.59998405e-01  3.38268062e-01 
 2.53842256e-04  7.59997086e-01  3.38279846e-01 
 2.54842256e-04  7.59995372e-01  3.38295173e-01 
 2.55842256e-04  7.59993263e-01  3.38314045e-01 
 2.56842256e-04  7.59990760e-01  3.38336462e-01 
 2.57842256e-04  7.59987863e-01  3.38362427e-01 
 2.58842256e-04  7.59984571e-01  3.38391943e-01 
 2.59842256e-04  7.59980885e-01  3.38425010e-01 
 2.60842256e-04  7.59976805e-01  3.38461634e-01 
 2.61842256e-04  7.59972331e-01  3.38501816e-01 
 2.62842256e-04  7.59967463e-01  3.38545559e-01 
 2.63842256e-04  7.59962202e-01  3.38592869e-01 
 2.64842256e-04  7.59956547e-01  3.38643749e-01 
 2.65842256e-04  7.59950500e-01  3.38698202e-01 
 2.66842256e-04  7.59944060e-01  3.38756235e-01 
 2.67842256e-04  7.59937227e-01  3.38817852e-01 
 2.68842256e-04  7.59930002e-01  3.38883058e-01 
 2.69842256e-04  7.59922384e-01  3.38951859e-01 
 2.70842256e-04  7.59914375e-01  3.39024261e-01 
 2.71842256e-04  7.59905975e-01  3.39100270e-01 
 2.72842256e-04  7.59897184e-01  3.39179893e-01 
 2.73842256e-04  7.59888002e-01  3.39263137e-01 
 2.74842256e-04  7.59878429e-01  3.39350009e-01 
 2.75842256e-04  7.59868467e-01  3.39440516e-01 
 2.76842256e-04  7.59858114e-01  3.39534668e-01 
 2.77842256e-04  7.59847373e-01  3.39632471e-01 
 2.78842256e-04  7.59836243e-01  3.39733935e-01 
 2.79842256e-04  7.59824725e-01  3.39839069e-01 
 2.80842256e-04  7.59812819e-01  3.39947881e-01 
 2.81842256e-04  7.59800525e-01  3.40060382e-01 
 2.82842256e-04  7.59787845e-01  3.40176582e-01 
 2.83842256e-04  7.59774778e-01  3.40296491e-01 
 2.84842256e-04  7.59761325e-01  3.40420119e-01 
 2.85842256e-04  7.59747487e-01  3.40547479e-01 
 2.86842256e-04  7.59733264e-01  3.40678580e-01 
 2.87842256e-04  7.59718657e-01  3.40813436e-01 
 2.88842256e-04  7.59703666e-01  3.40952059e-01 
 2.89842256e-04  7.59688292e-01  3.41094460e-01 
 2.90842256e-04  7.59672535e-01  3.41240654e-01 
 2.91842256e-04  7.59656397e-01  3.41390653e-01 
 2.92842256e-04  7.59639877e-01  3.41544471e-01 
 2.93842256e-04  7.59622977e-01  3.41702123e-01 
 2.94842256e-04  7.59605697e-01  3.41863622e-01 
 2.95842256e-04  7.59588038e-01  3.42028985e-01 
 2.96842256e-04  7.59570000e-01  3.42198226e-01 
 2.97842256e-04  7.59551585e-01  3.42371361e-01 
 2.98842256e-04  7.59532792e-01  3.42548407e-01 
 2.99842256e-04  7.59513623e-01  3.42729380e-01 
 3.00842256e-04  7.59494079e-01  3.42914298e-01 
 3.01842256e-04  7.59474159e-01  3.43103177e-01 
 3.02842256e-04  7.59453866e-01  3.43296036e-01 
 3.03842256e-04  7.59433199e-01  3.43492894e-01 
 3.04842256e-04  7.59412160e-01  3.43693770e-01 
 3.05842256e-04  7.59390750e-01  3.43898682e-01 
 3.06842256e-04  7.59368969e-01  3.44107651e-01 
 3.07842256e-04  7.59346817e-01  3.44320697e-01 
 3.08842256e-04  7.59324297e-01  3.44537841e-01 
 3.09842256e-04  7.59301409e-01  3.44759104e-01 
