Adc_cl_dB_arr,fcu_arr,CMRR_dc_dB_arr
-5.351420000000000066e-01,4.064050000000000000e+05,4.334309999999999974e+01
-5.282700000000000173e-01,5.075170000000000000e+05,4.239929999999999666e+01
-5.485309999999999908e-01,4.316200000000000000e+05,5.334680000000000177e+01
-6.229280000000000372e-01,3.565240000000000000e+05,3.823469999999999658e+01
-5.571369999999999933e-01,3.827950000000000000e+05,4.735470000000000113e+01
-5.850889999999999702e-01,3.737560000000000000e+05,4.171829999999999927e+01
-5.365079999999999849e-01,4.474420000000000000e+05,5.827819999999999823e+01
-5.744219999999999882e-01,4.073050000000000000e+05,4.985739999999999839e+01
-5.374879999999999658e-01,4.722160000000000000e+05,3.943509999999999849e+01
-5.630140000000000144e-01,3.928050000000000000e+05,4.371900000000000119e+01
-5.417969999999999731e-01,5.200640000000000000e+05,3.950979999999999848e+01
-5.172419999999999796e-01,3.817070000000000000e+05,4.047529999999999717e+01
-5.908250000000000446e-01,3.496550000000000000e+05,4.376709999999999923e+01
-5.420570000000000110e-01,3.919470000000000000e+05,5.054599999999999937e+01
-5.491639999999999855e-01,4.218090000000000000e+05,4.858809999999999718e+01
-5.374619999999999953e-01,4.059080000000000000e+05,4.458149999999999835e+01
-5.453510000000000302e-01,5.282520000000000000e+05,6.551760000000000161e+01
-5.062569999999999570e-01,3.712010000000000000e+05,7.623609999999999332e+01
-6.788210000000000077e-01,3.639220000000000000e+05,3.590270000000000294e+01
-5.083309999999999773e-01,4.268750000000000000e+05,5.744550000000000267e+01
-5.118150000000000199e-01,4.179280000000000000e+05,4.991109999999999758e+01
-5.249759999999999982e-01,3.934900000000000000e+05,7.956789999999999452e+01
-5.397450000000000303e-01,4.302810000000000000e+05,6.221240000000000236e+01
-5.394729999999999803e-01,4.748210000000000000e+05,5.465890000000000271e+01
-5.215779999999999861e-01,4.335860000000000000e+05,4.562930000000000064e+01
-5.493200000000000305e-01,4.300730000000000000e+05,5.648360000000000269e+01
-6.132140000000000368e-01,5.216410000000000000e+05,3.860110000000000241e+01
-5.139120000000000354e-01,3.907260000000000000e+05,7.663779999999999859e+01
-5.798170000000000268e-01,5.201700000000000000e+05,4.166129999999999711e+01
-5.304870000000000418e-01,4.068530000000000000e+05,5.151939999999999742e+01
-5.157049999999999690e-01,4.377930000000000000e+05,4.271770000000000067e+01
-6.132290000000000241e-01,4.374140000000000000e+05,3.758270000000000266e+01
-5.303799999999999626e-01,4.082680000000000000e+05,4.988550000000000040e+01
-5.694110000000000005e-01,4.206690000000000000e+05,4.513980000000000103e+01
-5.561629999999999630e-01,3.625100000000000000e+05,4.393500000000000227e+01
-5.430610000000000159e-01,4.855770000000000000e+05,4.307489999999999952e+01
-5.496419999999999639e-01,4.462360000000000000e+05,4.536339999999999861e+01
-5.596370000000000511e-01,4.415880000000000000e+05,4.387449999999999761e+01
-5.548229999999999551e-01,4.230120000000000000e+05,5.398259999999999792e+01
-5.613620000000000276e-01,3.891540000000000000e+05,4.536619999999999919e+01
-5.648670000000000080e-01,4.374680000000000000e+05,3.865740000000000265e+01
-5.496750000000000247e-01,3.893400000000000000e+05,4.035430000000000206e+01
-5.427340000000000497e-01,3.836020000000000000e+05,5.185719999999999885e+01
-5.243820000000000148e-01,4.337500000000000000e+05,4.750699999999999790e+01
-5.174490000000000478e-01,4.054420000000000000e+05,4.050280000000000058e+01
-5.230939999999999479e-01,4.755880000000000000e+05,6.045759999999999934e+01
-5.520720000000000072e-01,3.843390000000000000e+05,4.075979999999999848e+01
-5.477340000000000542e-01,4.154280000000000000e+05,4.186659999999999826e+01
-5.085110000000000463e-01,4.907910000000000000e+05,5.024260000000000304e+01
-5.061299999999999688e-01,3.984520000000000000e+05,6.638660000000000139e+01
-5.661319999999999686e-01,4.087220000000000000e+05,3.878779999999999717e+01
-5.463379999999999903e-01,3.792090000000000000e+05,4.873109999999999786e+01
-5.531880000000000130e-01,4.043110000000000000e+05,4.968039999999999878e+01
-5.714740000000000375e-01,4.710160000000000000e+05,4.308039999999999736e+01
-5.399639999999999995e-01,4.185420000000000000e+05,4.785750000000000171e+01
-5.499460000000000459e-01,4.031770000000000000e+05,4.357260000000000133e+01
-6.118770000000000042e-01,4.055600000000000000e+05,3.930519999999999925e+01
-5.535980000000000345e-01,4.439040000000000000e+05,4.626939999999999742e+01
-6.010940000000000172e-01,4.266780000000000000e+05,3.845790000000000219e+01
-5.550819999999999643e-01,3.951390000000000000e+05,5.813889999999999958e+01
-5.647079999999999878e-01,3.924240000000000000e+05,4.107480000000000331e+01
-5.250070000000000014e-01,3.514880000000000000e+05,4.297679999999999723e+01
-5.576849999999999863e-01,5.235530000000000000e+05,4.684629999999999939e+01
-5.885070000000000023e-01,4.434580000000000000e+05,3.799900000000000233e+01
-5.468279999999999808e-01,4.102970000000000000e+05,4.725000000000000000e+01
-5.520129999999999759e-01,3.931480000000000000e+05,6.801439999999999486e+01
-5.664909999999999668e-01,4.054780000000000000e+05,4.433850000000000335e+01
-5.219660000000000410e-01,4.309040000000000000e+05,4.657920000000000016e+01
-5.906479999999999508e-01,4.164170000000000000e+05,4.087279999999999802e+01
-5.539749999999999952e-01,4.102020000000000000e+05,4.803629999999999711e+01
