time_us,clock,reset_n,enable,sram_0_out,inv1_dout1,inv1_dout2,inv1_dout3,inv1_dout4,inv2_vin1,inv2_vout1,inv2_vin2,inv2_vout2,counter2_value0,counter2_value1,counter2_value2,counter2_value3,counter2_value4,counter2_value5,counter2_value6,counter2_value7,counter1_value4_inv1_din1,counter1_value5_inv1_din2
1.094060950000000018e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320530000000015e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501374790000000514e-01,5.342439820000000061e-01,7.502749330000000327e-01,5.313256499999999827e-01,3.292814009999999847e+00,4.199323730000000208e-09,4.199323730000000208e-09,4.199323730000000208e-09,4.199323730000000208e-09,4.199323730000000208e-09,4.199323730000000208e-09,4.199323730000000208e-09,4.293885810000000098e-09,4.293883689999999753e-09
1.153982839999999864e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320279999999935e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501450090000000293e-01,5.339912479999999739e-01,7.502899870000000471e-01,5.308224599999999960e-01,3.296961309999999923e+00,4.199314989999999738e-09,4.199314989999999738e-09,4.199314989999999738e-09,4.199314989999999738e-09,4.199314989999999738e-09,4.199314989999999738e-09,4.199314989999999738e-09,4.293888439999999613e-09,4.293887109999999685e-09
1.237715810000000055e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319879999999808e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501555300000000148e-01,5.336335930000000172e-01,7.503110219999999941e-01,5.301108639999999594e-01,3.299745070000000169e+00,4.199321509999999831e-09,4.199321509999999831e-09,4.199321509999999831e-09,4.199321509999999831e-09,4.199321509999999831e-09,4.199321509999999831e-09,4.199321509999999831e-09,4.293886100000000356e-09,4.293883760000000272e-09
1.325452950000000074e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320429999999983e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501665539999999854e-01,5.332540820000000181e-01,7.503330609999999679e-01,5.293564309999999606e-01,3.300382069999999946e+00,4.199322110000000023e-09,4.199322110000000023e-09,4.199322110000000023e-09,4.199322110000000023e-09,4.199322110000000023e-09,4.199322110000000023e-09,4.199322110000000023e-09,4.293884439999999992e-09,4.293884880000000298e-09
1.488292140000000048e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199318799999999960e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501870130000000136e-01,5.325400670000000058e-01,7.503739609999999782e-01,5.279389399999999677e-01,3.300300290000000025e+00,4.199318659999999750e-09,4.199318659999999750e-09,4.199318659999999750e-09,4.199318659999999750e-09,4.199318659999999750e-09,4.199318659999999750e-09,4.199318659999999750e-09,4.293886239999999739e-09,4.293886379999999949e-09
1.744146070000000132e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319550000000199e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502191580000000526e-01,5.314015539999999982e-01,7.504382109999999662e-01,5.256841690000000344e-01,3.300061969999999789e+00,4.199319579999999712e-09,4.199319579999999712e-09,4.199319579999999712e-09,4.199319579999999712e-09,4.199319579999999712e-09,4.199319579999999712e-09,4.199319579999999712e-09,4.293883820000000125e-09,4.293883970000000173e-09
2.000000000000000042e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320089999999709e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502513010000000371e-01,5.302503379999999877e-01,7.505024430000000191e-01,5.234100729999999757e-01,3.299995730000000016e+00,4.199319650000000231e-09,4.199319650000000231e-09,4.199319650000000231e-09,4.199319650000000231e-09,4.199319650000000231e-09,4.199319650000000231e-09,4.199319650000000231e-09,4.293884759999999763e-09,4.293884570000000364e-09
2.001000000000000001e-02,3.300000000000000155e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199325889999999904e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502514270000000263e-01,5.302458239999999767e-01,7.505026940000000257e-01,5.234011889999999889e-01,3.299995790000000095e+00,4.199326159999999659e-09,4.199326159999999659e-09,4.199326159999999659e-09,4.199326159999999659e-09,4.199326159999999659e-09,4.199326159999999659e-09,4.199326159999999659e-09,4.293888100000000166e-09,4.293889740000000027e-09
2.003000000000000266e-02,9.899999999999999911e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199324300000000059e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502516780000000329e-01,5.302367930000000396e-01,7.505031960000000391e-01,5.233834130000000195e-01,3.299995940000000072e+00,4.199324819999999894e-09,4.199324819999999894e-09,4.199324819999999894e-09,4.199324819999999894e-09,4.199324819999999894e-09,4.199324819999999894e-09,4.199324819999999894e-09,4.293883069999999886e-09,4.293889580000000142e-09
2.006500000000000297e-02,2.145000000000000018e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199325010000000120e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502521180000000234e-01,5.302209839999999508e-01,7.505040750000000482e-01,5.233522879999999988e-01,3.299996189999999885e+00,4.199321340000000108e-09,4.199321340000000108e-09,4.199321340000000108e-09,4.199321340000000108e-09,4.199321340000000108e-09,4.199321340000000108e-09,4.199321340000000108e-09,4.293883600000000386e-09,4.293891119999999971e-09
